room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,suburb
8372857,3231371,Entire home/apt,Eastern Suburbs,2,0,12,6,1949,-33.892104,151.283922,North Bondi
16232033,106084485,Entire home/apt,Northern Beaches,0,0,6,3,1543,-33.799625,151.273016,Fairlight
10090485,51777650,Entire home/apt,Eastern Suburbs,1,0,8,4,935,-33.912198,151.26132,Clovelly
2960097,10135075,Entire home/apt,Northern Beaches,0,0,6,3,771,-33.794182,151.273379,Fairlight
1292534,2489500,Entire home/apt,Northern Beaches,0,0,8,4,819,-33.7939,151.235885,Seaforth
18756428,99141846,Entire home/apt,Northern Beaches,0,0,7,4,633,-33.804407,151.265109,Balgowlah Heights
9137828,7409213,Entire home/apt,Lower Northern Sydney,2,0,10,4,556,-33.827903,151.196272,Wollstonecraft
7940489,7409213,Entire home/apt,Eastern Suburbs,2,0,8,3,530,-33.90642,151.264884,Bronte
8654341,113874,Entire home/apt,Eastern Suburbs,0,0,6,3,617,-33.898671,151.262946,Bronte
6365080,113874,Entire home/apt,Eastern Suburbs,1,0,8,4,686,-33.886239,151.27087,Bondi Beach
9094242,7409213,Entire home/apt,Eastern Suburbs,0,0,8,4,585,-33.912157,151.264409,Clovelly
13192553,113874,Entire home/apt,Eastern Suburbs,0,0,8,4,546,-33.907906,151.259257,Waverley
9258418,16474263,Entire home/apt,Eastern Suburbs,0,0,8,4,561,-33.886719,151.271245,Bondi Beach
15346103,11914644,Entire home/apt,Eastern Suburbs,0,0,6,3,716,-33.88292,151.281634,North Bondi
14059678,16357713,Entire home/apt,Lower Northern Sydney,0,0,8,4,662,-33.827096,151.237256,Mosman
10524227,54263107,Entire home/apt,Lower Northern Sydney,0,0,9,5,585,-33.834199,151.247167,Mosman
10059490,2450066,Entire home/apt,Eastern Suburbs,0,0,8,4,654,-33.847948,151.278535,Vaucluse
11832073,62331249,Entire home/apt,Eastern Suburbs,0,0,7,4,623,-33.879996,151.226066,Paddington
